240,Juice WRLD,Make Believe
241,Halsey,Without Me
242,YoungBoy Never Broke Again,Seeming Like It
243,Drake,Behind Barz (Bonus)
244,YoungBoy Never Broke Again,Gang S**t
245,Lizzo,Good as Hell (feat. Ariana Grande) [Remix]
246,Drake,God's Plan
247,Travis Scott,YOSEMITE
248,YNW Melly,Mixed Personalities (feat. Kanye West)
249,YoungBoy Never Broke Again,Head Blown
250,Morgan Wallen,Whiskey Glasses
251,Kodak Black,ZEZE (feat. Travis Scott & Offset)
252,Rich The Kid,That's Tuff (feat. Quavo)
253,Fabolous,Gone for the Summer (feat. A Boogie wit da Hoodie)
254,Trippie Redd,Real Feel
255,Rod Wave,Soldier Life
256,Trippie Redd,This Ain't That (feat. Lil Mosey)
257,Rod Wave,Titanic (feat. Kevin Gates)
258,Summer Walker,Fun Girl
259,XXXTENTACION,School Shooters (feat. Lil Wayne)
260,YoungBoy Never Broke Again,Where the Love At
261,Travis Scott,goosebumps
262,A Boogie wit da Hoodie,Mood Swings
263,Roddy Ricch,Die Young
264,Summer Walker,Anna Mae
265,Summer Walker,Me
266,XXXTENTACION,Jocelyn Flores
267,"Dreamville, J. Cole & Lute",Under the Sun (feat. DaBaby)
268,21 Savage,a lot
269,Khalid,Up All Night
270,J. Cole,No Role Modelz
271,"Tainy, Anuel AA & Ozuna",Adicto
272,"Anuel AA, Daddy Yankee & KAROL G",China (feat. J Balvin & Ozuna)
273,Billie Eilish,idontwannabeyouanymore
274,Marshmello & Kane Brown,One Thing Right
275,"Tyler, The Creator",EARFQUAKE
276,XXXTENTACION,Moonlight
277,Fabolous,B.O.M.B.S.
278,DaBaby & Nicki Minaj,iPHONE
279,Travis Scott,BUTTERFLY EFFECT
280,XXXTENTACION,Triumph
281,Post Malone,Psycho (feat. Ty Dolla $ign)
282,Lil Tjay,Hold On
283,Billie Eilish,i love you
284,Rod Wave,Counted Steps
285,Saweetie,My Type
286,Megan Thee Stallion & VickeeLo,Ride Or Die
287,Kehlani,Nights Like This (feat. Ty Dolla $ign)
288,DaBaby,Goin Baby
289,Summer Walker,Off of You
290,French Montana,Out of Your Mind (feat. Swae Lee & Chris Brown)
291,Ed Sheeran,Beautiful People (feat. Khalid)
292,The Ronettes,Sleigh Ride
293,Taylor Swift,Lover
294,Tyga,Ayy Macarena
295,Lizzo,Good as Hell
296,Only The Family & Lil Durk,Brazy Krazy
297,Selena Gomez,Look At Her Now
298,YNW Melly,Adam Sandler
299,Lil Nas X,Panini
300,Billie Eilish,bury a friend
301,"Only The Family, Lil Durk & King Von",They Be Talkin'
302,Gucci Mane,Big Boy Diamonds (feat. Kodak Black & London On Da Track)
303,YoungBoy Never Broke Again,Slime Belief
304,DaBaby,RAW S**T (feat. Migos)
305,Morgan Wallen,Chasin' You
306,Roddy Ricch,Every Season
307,NF,Time (Edit)
308,Jonas Brothers,Only Human
309,Tory Lanez,Yessirr
310,Gunna,Baby Birkin
311,Diplo & Jonas Brothers,Lonely
312,Fat Joe & Dre,Lord Above (feat. Eminem & Mary J. Blige)
313,A Boogie wit da Hoodie,Jungle
314,"Only The Family, Lil Durk & King Von",Gang Forever (feat. Jusblow600)
315,Frank Ocean,Chanel
316,The Weeknd,Call Out My Name
317,Cardi B,Money
318,Daniel Caesar,Best Part (feat. H.E.R.)
319,YoungBoy Never Broke Again,I Don't Know
320,Ed Sheeran & Justin Bieber,I Don't Care
321,Rod Wave,Chip On My Shoulder
322,benny blanco & Juice WRLD,Roses (feat. Brendon Urie)
323,Juice WRLD,HeMotions
324,Calboy,Envy Me
325,"Cardi B, Bad Bunny & J Balvin",I Like It
326,Rod Wave,Dark Clouds
327,DaBaby,"GOSPEL (feat. Chance the Rapper, Gucci Mane & YK Osiris)"
328,Trippie Redd,The Grinch
329,DaBaby,REALLY (feat. Stunna 4 Vegas)
330,YoungBoy Never Broke Again,Free Time
331,Pop Smoke,Dior
332,Lil Yachty,Yacht Club (feat. Juice WRLD)
333,Doja Cat & Tyga,Juicy
334,The Lumineers,Ophelia
335,Drake,Nice For What
336,Trippie Redd,All for Me (feat. Smokepurpp)
337,DaBaby,XXL
338,Ali Gatie,It's You
339,Post Malone,A Thousand Bad Times
340,Trippie Redd,U Deserve It (feat. Chris King & QUANTA)
341,DaBaby,PROLLY HEARD
342,Lil Tjay,Leaked
343,Elvis Presley,Blue Christmas
344,Juice WRLD,Ring Ring (feat. Clever)
345,Bing Crosby,White Christmas (feat. Ken Darby Singers & John Scott Trotter and His Orchestra)
346,Lady Gaga & Bradley Cooper,Shallow
347,Juice WRLD,Who Shot Cupid?
348,YoungBoy Never Broke Again,Outta Here Safe (feat. Quando Rondo and NoCap)
349,Jonathan Groff,Lost in the Woods
350,Lil Durk,Bora Bora
351,Khalid,Location
352,PARTYNEXTDOOR,The News
353,Tory Lanez,Still Waiting (feat. Trey Songz)
354,The Black Eyed Peas & J Balvin,RITMO (Bad Boys for Life)
355,Kodak Black,Calling My Spirit
356,"Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff & Cast of Frozen 2",Some Things Never Change
357,Lil Baby & Future,Out the Mud
358,J. Cole,Wet Dreamz
359,NLE Choppa,Shotta Flow (feat. Blueface) [Remix]
360,Tory Lanez,The Trade (feat. Jagged Edge & Jermaine Dupri)
361,JhenÃ© Aiko,Triggered (freestyle)
362,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B)
363,NLE Choppa,"Camelot (Remix) [feat. Yo Gotti, BlocBoy JB & Moneybagg Yo]"
364,Billie Eilish,you should see me in a crown
365,Trippie Redd,Sickening (feat. Tory Lanez)
366,Lil Baby,Catch the Sun
367,"Sech, Ozuna & Anuel AA",Otro Trago (feat. Darell & Nicky Jam) [feat. Darell & Nicky Jam]
368,Bryson Tiller,Exchange
369,Jeremy Zucker & Chelsea Cutler,you were good to me
370,Josh Gad,When I Am Older
371,Sam Smith & Normani,Dancing with a Stranger
372,Lewis Capaldi,Before You Go
373,Trippie Redd,Mac 10 (feat. Lil Baby & Lil Duke)
374,Darlene Love,Christmas (Baby Please Come Home)
375,Khalid,Young Dumb & Broke
376,XXXTENTACION,Hope
377,Offset,Clout (feat. Cardi B)
378,The Chainsmokers,Push My Luck
379,Post Malone,I'm Gonna Be
380,Marshmello & Bastille,Happier
381,Lil Tjay,Brothers
382,Fabolous,Us vs. The World (feat. Chris Brown & Teyana Taylor)
383,Joji,SLOW DANCING IN THE DARK
384,Kevin Gates,Bags
385,YNW Melly,Two Face
386,Post Malone,Congratulations (feat. Quavo)
387,Lil Uzi Vert,20 Min
388,XXXTENTACION,LIMBO (feat. Killstation)
389,J. Cole,Work Out
390,Bruce Springsteen,"Santa Claus Is Comin' to Town (Live at C.W. Post College, Greenvale, NY"
391,Trippie Redd,Til The End of Time
392,Justin Bieber,Mistletoe
393,Travis Scott,CAN'T SAY
394,"Layton Greene, Lil Baby & City Girls",Leave Em Alone (feat. PnB Rock)
395,Rod Wave,Extra
396,Billie Eilish,all the good girls go to hell
397,Drake,Marvins Room
398,Roddy Ricch,Down Below
399,Lil Baby,Freestyle
400,Ariana Grande,Santa Tell Me
401,Playboi Carti,Shoota (feat. Lil Uzi Vert)
402,Travis Scott,STARGAZING
403,Fabolous,Seasons Change (feat. Tory Lanez)
404,Bryson Tiller,Don't
405,Ski Mask the Slump God,Faucet Failure
406,Godfather of Harlem,On the Inside (feat. 21 Savage)
407,"Nio GarcÃ­a, Casper MÃ¡gico & Bad Bunny","Te BotÃ© (feat. Darell, Ozuna & Nicky Jam) [Remix]"
408,Trippie Redd,Leray
409,Flo Milli,In the Party
410,Ariana Grande,"break up with your girlfriend, i'm bored"
411,XXXTENTACION,changes
412,NF,Paid My Dues
413,Lewis Capaldi,Bruises
414,Nipsey Hussle,Racks in the Middle (feat. Roddy Ricch and Hit-Boy)
415,Bazzi,I.F.L.Y.
416,Fabolous,My Mind (feat. Jacquees)
417,YK Osiris,Worth It
418,Panic! At the Disco,Into the Unknown (Panic! At The Disco Version)
419,Offset & Metro Boomin,Ric Flair Drip
420,Dan + Shay,Tequila
421,XXXTENTACION,UGLY
422,"Nat ""King"" Cole",The Christmas Song (Alternate Take)
423,Tory Lanez,A Fools Tale (Running Back) [feat. Ashanti]
424,Taylor Swift,Lover (Remix) [feat. Shawn Mendes]
425,Tory Lanez,Broken Promises
426,John K,If We Never Met
427,Fabolous,Bae Dreaming (feat. YFN Lucci)
428,Chris Stapleton,Tennessee Whiskey
429,"Lunay, Ozuna & Anuel AA",Aventura
430,Bad Bunny,MIA (feat. Drake)
431,Zedd & Kehlani,Good Thing
432,Dean Martin,Let It Snow! Let It Snow! Let It Snow!
433,Paul McCartney,Wonderful Christmastime (Full Length Version)
434,Only The Family & Lil Durk,Whole Lotta
435,SZA,Love Galore (feat. Travis Scott)
436,Billie Eilish,wish you were gay
437,Tame Impala,The Less I Know the Better
438,Juice WRLD,Rich and Blind
439,Daniel Caesar,Get You (feat. Kali Uchis)
440,Jonas Brothers,Sucker
441,Kamaiyah,F**k It up (feat. Yg)
442,XXXTENTACION,Ecstasy (feat. Noah Cyrus)
443,Megan Thee Stallion,Big Ole Freak
444,Bebe Rexha & Florida Georgia Line,Meant to Be
445,Kodak Black,Roll in Peace (feat. XXXTENTACION)
446,Taylor Swift,You Need To Calm Down
447,Travis Scott,WAKE UP
448,Post Malone,Allergic
449,Jackson 5,I Saw Mommy Kissing Santa Claus
450,"Lunay, Daddy Yankee & Bad Bunny",Soltera (Remix)
451,Tyga,Taste (feat. Offset)
452,Y2K & bbno$,Lalala
453,Lil Skies,I
454,Luke Combs,She Got the Best of Me
455,Fivio Foreign,Big Drip
456,Polo G,Heartless (feat. Mustard)
457,Shordie Shordie,Bitchuary
458,Niall Horan,Nice to Meet Ya
459,Jason Aldean,You Make It Easy
460,Tory Lanez,Luv Ya Gyal // Love Sounds (feat. The-Dream)
461,"Lil Baby, Gunna & Drake",Never Recover
462,Kevin Gates,By My Lonely
463,YoungBoy Never Broke Again,Outside Today
464,Evan Rachel Wood,All Is Found
465,The Weeknd,The Hills
466,Ski Mask the Slump God,Nuketown (feat. Juice WRLD)
467,XXXTENTACION,Everybody Dies in Their Nightmares
468,XXXTENTACION,ATTENTION!
469,Trippie Redd,The Jungle Book (feat. Lil Wop)
470,Sheck Wes,Mo Bamba
471,YNW Melly,Freddy Krueger (feat. Tee Grizzley)
472,Lil Uzi Vert,XO TOUR Llif3
473,Kane Brown,Heaven
474,Billie Eilish,xanny
475,Post Malone,Staring at the Sun (feat. SZA)
476,Ed Sheeran,Perfect
477,Sam Hunt,Kinfolks
478,Kanye West,Closed on Sunday
479,Gucci Mane,Big Booty (feat. Megan Thee Stallion)
480,The Game,Welcome Home (feat. Nipsey Hussle)
481,Ella Mai,Trip
482,Blake Shelton,God's Country
483,French Montana,Lifestyle (feat. Kodak Black & Kevin Gates)
484,Tory Lanez,The Cry (feat. Mario)
485,Only The Family & Lil Durk,Blika Blika
486,YoungBoy Never Broke Again,Valuable Pain
487,Doja Cat,Juicy
488,Regard,Ride It
489,Tory Lanez,Thoughts (feat. Lloyd & Lil Wayne)
490,Only The Family & Booka600,The Hood
491,A Boogie wit da Hoodie,Drowning (feat. Kodak Black)
492,Kendrick Lamar,LOVE. (FEAT. ZACARI.)
493,Trippie Redd,Topanga
494,Russ,Losin Control
495,Kina,Get You the Moon (feat. SnÃ¸w)
496,Childish Gambino,Redbone
497,Meek Mill,Dreams and Nightmares
498,NLE Choppa,Shotta Flow
499,Jason Aldean,Got What I Got
500,Riley Green,I Wish Grandpas Never Died
501,Dean Lewis,Be Alright
502,DaBaby,THERE HE GO
503,24kGoldn,Valentino
504,NLE Choppa,Forever
505,The Weeknd,Starboy (feat. Daft Punk)
506,Young M.A,BIG
507,Kelsea Ballerini,homecoming queen?
508,Lil Tjay,Ruthless (feat. Jay Critch)
509,Polo G,Through da Storm
510,Jacquees,Risk It All (feat. Tory Lanez)
511,El Alfa & Lil Pump,Coronao Now
512,Lil Uzi Vert,Money Longer
513,Juice WRLD,ON GOD (feat. Young Thug)
514,"Gucci Mane, Bruno Mars & Kodak Black",Wake Up in the Sky
515,Kevin Gates,Fatal Attraction
516,Trippie Redd,RMP
517,Trippie Redd,Abandoned (feat. Mariah the Scientist)
518,Post Malone,White Iverson
519,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder)
520,A Boogie wit da Hoodie,Still Think About You
521,Kevin Gates,Facts
522,Lil Baby,Life Goes On (feat. Gunna & Lil Uzi Vert)
523,Migos,Bad and Boujee (feat. Lil Uzi Vert)
524,YG,"BIG BANK (feat. 2 Chainz, Big Sean & Nicki Minaj)"
525,Young Thug,What's the Move (feat. Lil Uzi Vert)
526,Fabolous,"Options (feat. PnB Rock, Gucci Mane & 2 Chainz)"
527,YoungBoy Never Broke Again,Cross Me (feat. Lil Baby and Plies)
528,Niall Horan,Put a Little Love On Me
529,J Balvin & Bad Bunny,QUÃ PRETENDES
530,Lonr.,A.M.
531,A Boogie wit da Hoodie,Demons and Angels (feat. Juice WRLD)
532,Tory Lanez,Blowin' Mine's // Leah's Introduction (SKIT)
533,Only The Family & Lil Durk,One Mo Chance
534,SZA,The Weekend
535,YoungBoy Never Broke Again,I Am Who They Say I Am (feat. Kevin Gates and Quando Rondo)
536,Cardi B,Bodak Yellow
537,Lauren Daigle,You Say
538,YG,Go Loko (feat. Tyga & Jon Z)
539,Trippie Redd,Chosen
540,Jessie Reyez & 6LACK,Imported
541,"John Lennon, The Harlem Community Choir, The Plastic Ono Band & Yoko Ono",Happy Xmas (War Is Over)
542,Young Thug,Surf (feat. Gunna)
543,Panic! At the Disco,High Hopes
544,Frank Ocean,Nights
545,Kevin Gates,Walls Talking
546,Drake,Mob Ties
547,6LACK,Pretty Little Fears (feat. J. Cole)
548,Maren Morris,The Bones
549,The Chainsmokers & Kygo,Family (with Kygo)
550,6ix9ine,"FEFE (feat. Nicki Minaj, Murda Beatz)"
551,"Quality Control, Offset & DaBaby",Pink Toes (feat. Gunna)
552,Bryant Myers & Anuel AA,Gan-Ga (Remix)
553,Metro Boomin,Space Cadet (feat. Gunna)
554,Lady Antebellum,What If I Never Get Over You
555,Stunna 4 Vegas & Offset,Up the Smoke
556,XXXTENTACION,HEARTEATER
557,Blanco Brown,The Git Up
558,Kendrick Lamar,HUMBLE.
559,A Boogie wit da Hoodie,My Sh*t
560,Fabolous,Ooh Yea (feat. Ty Dolla $ign)
561,XXXTENTACION,NorthStar (feat. Joyner Lucas) [Remix]
562,Fabolous,Choosy (feat. Jeremih & Davido)
563,Only The Family & King Von,This a Story
564,Ed Sheeran,Shape of You
565,Juice WRLD,Demonz (feat. Brent Faiyaz) [Interlude]
566,Mahalia,What You Did (feat. Ella Mai)
567,NAV,Tap (feat. Meek Mill)
568,Miguel,Sky Walker (feat. Travis Scott)
569,Metro Boomin,10 Freaky Girls (feat. 21 Savage)
570,The Weeknd,Acquainted
571,Lil Mozart,Blueberry Fego
572,James Arthur,Say You Won't Let Go
573,Kodak Black,No Flockin
574,Juice WRLD,Big
575,Future & Juice WRLD,7 AM Freestyle
576,Michael BublÃ©,I'll Be Home For Christmas
577,Dan + Shay,All To Myself
578,Alicia Keys,Show Me Love (feat. Miguel)
579,Rod Wave,Popular Loner
580,The Game,The Code (feat. 21 Savage)
581,Eagles,Please Come Home for Christmas
582,Gunna,Oh Okay (feat. Young Thug & Lil Baby)
583,Luke Combs,Hurricane
584,Travis Scott & Young Thug,pick up the phone
585,YoungBoy Never Broke Again,No Smoke
586,XXXTENTACION,Kill My Vibe (feat. Tom G)
587,Tory Lanez,The Fargo Splash (feat. Ludacris)
588,Tory Lanez,Forever
589,G-Eazy,No Limit (feat. A$AP Rocky & Cardi B)
590,Lennon Stella,Kissing Other People
591,NoCap,Still Me
592,Morgan Wallen,Cover Me Up
593,Fabolous,Insecure
594,Marca MP,El GÃ¼ero (En vivo)
595,Luke Combs & Brooks & Dunn,"1, 2 Many"
596,"Marshmello, YUNGBLUD & blackbear",Tongue Tied
597,Kevin Gates,Icebox
598,The Chainsmokers,Closer (feat. Halsey)
599,Billie Eilish,my strange addiction
600,Billie Eilish,listen before i go
601,Kanye West,On God
602,Vince Guaraldi Trio,Christmas Time Is Here (Vocal Version)
603,Jonathan Groff,Reindeer(s) Are Better Than People (Cont.)
604,Tee Grizzley,First Day Out
605,Juice WRLD,The Bees Knees
606,Donny Hathaway,This Christmas
607,Polo G,Finer Things
608,Trippie Redd,M's (feat. Lil Yachty & Pi'erre Bourne)
609,Why Don't We,What Am I
610,Meek Mill,24/7 (feat. Ella Mai)
611,DJ Khaled,Wish Wish (feat. Cardi B & 21 Savage)
612,Camila Cabello,Should've Said It
613,Maroon 5,Girls Like You (feat. Cardi B)
614,XXXTENTACION,wanna grow old (i won't let go) [feat. Jimmy Levy]
615,Lil Skies,Red Roses (feat. Landon Cube)
616,21 Savage & Metro Boomin,X (feat. Future)
617,XXXTENTACION,before i realize
618,Post Malone,I Know
619,Ariana Grande & Social House,Boyfriend
620,Natanael Cano,Disfruto Lo Malo
621,Mac Miller,Self Care
622,Lil Wayne,Mona Lisa (feat. Kendrick Lamar)
623,Pentatonix,Grown-Up Christmas List (feat. Kelly Clarkson)
624,Lee Brice,Rumor
625,Kesha,Raising Hell (feat. Big Freedia)
626,Tory Lanez,If You Gotta... (feat. Fabolous)
627,Drake,In My Feelings
628,JhenÃ© Aiko,Sativa (feat. Swae Lee)
